 totalejemplos 6246
 total INF 3988
 total NAV 2258
 total RES 4239

 distance distManhattanINF 5615.1808983194705
 distance distManhattanNAV 3722.160566509291
 distance distManhattanRES 5615.181149071727
 
 bahama, 	INF 
 geffen, 	INF 
 10, 	NAV 
 germantown, 	INF 
 fredricksburg, 	INF 
 braless, 	INF 
 falls, 	NAV 
 bennett, 	INF 
 aaron, 	INF 
 decrease, 	NAV 
 variable, 	INF 
 salad, 	NAV 
 recording, 	INF 
 toronto, 	INF 
 album, 	NAV 
 ssa, 	INF 
 thai, 	NAV 
 prognosis, 	INF 
 exploration, 	INF 
 after, 	NAV 
 centreville, 	NAV 
 charlotte, 	INF 
 tennis, 	NAV 
 fruit, 	INF 
 alessandra, 	INF 
 69, 	INF 
 68, 	INF 
 shinedown, 	INF 
 cinemark, 	INF 
 8030b, 	INF 
 canada, 	INF 
 kelleher, 	NAV 
 association, 	NAV 
 associates, 	NAV 
 labels, 	NAV 
 white, 	NAV 
 that, 	NAV 
 th5c5, 	INF 
 practitioner, 	NAV 
 associated, 	INF 
 than, 	INF 
 races, 	NAV 
 75, 	NAV 
 westchester, 	INF 
 sub, 	NAV 
 model, 	NAV 
 about, 	NAV 
 valentine, 	INF 
 sun, 	NAV 
 ruth, 	INF 
 triboro, 	INF 
 weichert, 	INF 
 complete, 	INF 
 globetrac, 	NAV 
 companion, 	INF 
 unemployability, 	INF 
 feed, 	INF 
 severe, 	INF 
 russ, 	INF 
 accent, 	INF 
 tractor, 	INF 
 girls, 	NAV 
 duffy, 	NAV 
 44, 	NAV 
 rebuilt, 	INF 
 feet, 	NAV 
 manhattan, 	INF 
 fees, 	INF 
 recovery, 	INF 
 bling, 	INF 
 infinite, 	NAV 
 dekalb, 	INF 
 citrus, 	NAV 
 flaming, 	INF 
 grow, 	NAV 
 outdoor, 	INF 
 service, 	NAV 
 circuit, 	NAV 
 brief, 	INF 
 50, 	INF 
 damas, 	NAV 
 neworleanspolice, 	NAV 
 bring, 	NAV 
 sailor, 	INF 
 merchandising, 	INF 
 palmer, 	INF 
 ancient, 	NAV 
 criminal, 	NAV 
 colonial, 	NAV 
 weather, 	NAV 
 guild, 	INF 
 wine, 	NAV 
 wind, 	INF 
 memorial, 	NAV 
 infertility, 	NAV 
 national, 	NAV 
 movado, 	NAV 
 gisele, 	NAV 
 mortgage, 	NAV 
 director, 	INF 
 tribal, 	INF 
 mothers', 	NAV 
 ward, 	NAV 
 tax, 	NAV 
 470, 	NAV 
 nails, 	NAV 
 language, 	INF 
 botetourt, 	INF 
 snip, 	INF 
 episode, 	NAV 
 google, 	NAV 
 coconut, 	NAV 
 america, 	NAV 
 tiger, 	INF 
 comedy, 	INF 
 university-, 	NAV 
 baptist, 	INF 
 buttermilk, 	INF 
 accute, 	INF 
 motorcycles, 	NAV 
 harras, 	NAV 
 title, 	NAV 
 boston, 	NAV 
 length, 	NAV 
 rent, 	NAV 
 want, 	NAV 
 98, 	NAV 
 edge, 	INF 
 boxster, 	INF 
 grip-tite, 	NAV 
 directory, 	INF 
 igigi, 	NAV 
 brand, 	NAV 
 summit, 	NAV 
 gazebo, 	INF 
 based, 	NAV 
 audiovox, 	INF 
 paddles, 	NAV 
 clark, 	INF 
 diet, 	NAV 
 renew, 	NAV 
 'dolls, 	NAV 
 compliance, 	INF 
 educator, 	INF 
 explorer, 	NAV 
 died, 	NAV 
 marina, 	INF 
 linked, 	NAV 
 icecream, 	INF 
 custom, 	INF 
 eagle, 	NAV 
 manufactured, 	INF 
 turner, 	INF 
 class, 	INF 
 property, 	NAV 
 northern, 	NAV 
 jokes, 	NAV 
 window, 	INF 
 popular, 	INF 
 crossfade, 	INF 
 friend, 	INF 
 harbour, 	INF 
 'there, 	INF 
 foxcroft, 	NAV 
 marion, 	NAV 
 wars, 	INF 
 pretty, 	INF 
 baked, 	INF 
 monkees, 	NAV 
 coast, 	INF 
 milwaukee, 	NAV 
 during, 	NAV 
 triple, 	INF 
 dick, 	INF 
 graphics, 	INF 
 rican, 	INF 
 brake, 	NAV 
 marine, 	NAV 
 office, 	NAV 
 with, 	NAV 
 invision, 	NAV 
 latinas, 	NAV 
 vista, 	NAV 
 book, 	NAV 
 sapulpa, 	INF 
 anna, 	INF 
 juanita, 	NAV 
 anne, 	INF 
 cadet, 	INF 
 nudist, 	NAV 
 northwind, 	NAV 
 bright, 	NAV 
 desktop, 	INF 
 alecktra, 	INF 
 bacon, 	INF 
 parts, 	INF 
 awareness, 	INF 
 warehouse, 	NAV 
 party, 	NAV 
 tuscaloosa, 	NAV 
 slavas, 	INF 
 compared, 	INF 
 leakey, 	NAV 
 hungry, 	NAV 
 taxon, 	NAV 
 billy, 	NAV 
 kingwood, 	INF 
 conditions, 	NAV 
 project, 	NAV 
 bio, 	INF 
 speedball, 	NAV 
 philcollins, 	INF 
 sick, 	INF 
 big, 	NAV 
 bills, 	NAV 
 unique, 	INF 
 training, 	NAV 
 authority, 	NAV 
 bathing, 	INF 
 bls, 	INF 
 side, 	INF 
 dieffenbach, 	NAV 
 pancakes, 	INF 
 tell, 	INF 
 interesting, 	NAV 
 dating, 	NAV 
 weimeraner, 	INF 
 sicily, 	INF 
 chamber, 	NAV 
 christina, 	INF 
 marriages, 	NAV 
 kawasakii, 	NAV 
 razor, 	NAV 
 latifolia, 	NAV 
 manners, 	NAV 
 electronic, 	NAV 
 genessee, 	NAV 
 testing, 	NAV 
 tiffany, 	INF 
 excelsior, 	INF 
 uric, 	INF 
 shooting, 	INF 
 ham, 	INF 
 physical, 	NAV 
 congress, 	NAV 
 bnai, 	INF 
 bob, 	INF 
 tractors, 	NAV 
 hammonton, 	INF 
 bikini, 	INF 
 cruise, 	NAV 
 has, 	NAV 
 planet, 	NAV 
 gallaghers, 	INF 
 wanting, 	NAV 
 lazarillo, 	NAV 
 commons, 	INF 
 trimming, 	NAV 
 friday, 	NAV 
 thickening, 	NAV 
 had, 	NAV 
 salveo, 	INF 
 hpinkjet, 	INF 
 302, 	INF 
 washtenaw, 	INF 
 imelda, 	NAV 
 hypoinflated, 	NAV 
 tremper, 	INF 
 georgia, 	NAV 
 rivers, 	INF 
 maple, 	NAV 
 sign, 	NAV 
 pittsburgh, 	NAV 
 patriotic, 	INF 
 hay, 	INF 
 marqiuse, 	NAV 
 pcb, 	INF 
 detencion, 	NAV 
 bmw, 	INF 
 dpfe, 	NAV 
 talks, 	NAV 
 philippines, 	NAV 
 religious, 	INF 
 flyfishing, 	NAV 
 carlson, 	INF 
 he4, 	NAV 
 packard, 	NAV 
 landforms, 	INF 
 bankhead, 	INF 
 pulse, 	INF 
 analysis, 	NAV 
 pat, 	NAV 
 great-west, 	NAV 
 silica, 	NAV 
 sussex, 	INF 
 pilot, 	NAV 
 name, 	INF 
 tasting, 	INF 
 infection, 	NAV 
 pay, 	NAV 
 tonight, 	INF 
 noggin, 	INF 
 linden, 	INF 
 hawaii, 	INF 
 rubicon, 	INF 
 sites, 	NAV 
 music, 	NAV 
 3.0, 	INF 
 chopper, 	NAV 
 tracks, 	NAV 
 vacations, 	NAV 
 salvia, 	INF 
 forge, 	NAV 
 lubricant, 	INF 
 never, 	NAV 
